,X,Y,Z
433,-36.293587860322134,-35.100210839434794,-33.299358010279306
434,-37.016462791601,-36.01792656645808,-34.49092704092997
435,-33.34433688853478,-29.73222642470866,-22.5646821343718
436,-12.569172350314108,-28.338871287352333,-33.37545941894127
437,-43.50515537844935,-40.718467315779705,-34.965304586045576
438,-29.16674684035406,-32.820259513730925,-35.097245012535986
439,-34.823149434170105,-29.687709320699255,-12.388116921494053
440,-36.368386775809356,-36.40273152820731,-36.11235019276179
441,-34.777798571215015,-32.484299341227036,-28.80221064346066
442,-33.84497610198318,-34.94610647875164,-35.621463729943876
443,-36.971980104595666,-35.13643364343294,-32.294164081688294
444,-26.073752743103896,-30.809837991451147,-33.58622498967627
445,-23.085107488091037,-12.836193955376658,-27.165743111470057
446,-40.925852793748874,-39.74554544334219,-37.925977086736985
447,-35.52192409632333,-33.97387047479096,-31.634695697357877
448,-37.65211636393629,-38.04505096034142,-38.11467779138235
449,-35.90676906335228,-34.722047984404,-32.93523514793301
450,-46.53288484785662,-45.68219091397704,-44.21304103145847
451,-34.037629258495535,-32.29212305738717,-29.63717947085376
452,-36.35694247752332,-32.94389263624731,-26.30712452488126
453,-38.12820574244371,-37.16380027407509,-35.680868505148304
454,-35.992282783244946,-34.16928269254729,-31.36281984978691
455,-26.230986037977225,-30.201001811722033,-32.645952292086875
456,-15.422813219359979,-25.228239083653573,-29.49370246201141
457,-35.12727935330472,-34.04581075276682,-32.40801638074091
458,-34.075116844699906,-32.44028384934378,-29.969453410545448
459,-49.05574560147855,-48.74630065993513,-48.12665858684348
460,-12.057292812280222,-40.47269321440859,-45.232440802576896
461,-27.851587159105847,-12.662770423006762,-24.253364388867332
462,-33.04684327702986,-39.01282200863492,-41.99454813470898
463,-12.049577432093319,-43.157153789085186,-46.94211837857908
464,-43.74082349658057,-47.30916773514451,-48.506148980722166
465,-36.12316165934254,-34.60041708700585,-32.297414525433005
466,-35.65972954346308,-34.955601134604095,-33.818350434575294
467,-40.20920018483817,-39.30832977999303,-37.90598412231756
468,-40.60737406741356,-38.809221723614364,-35.939467497266754
469,-38.589844238098046,-39.349948691293044,-39.7521384536793
470,-33.8159271181329,-32.144585501122044,-29.61514238031722
471,-40.9996146196124,-40.12556213644893,-38.75704549445153
472,-49.54505674563536,-12.040755310318698,-49.537850456216646
473,-27.081250353366457,-30.93054297218511,-33.31463939695043
474,-35.97354342030293,-35.98697470048894,-35.67359681558749
475,-12.107627751839814,-34.58592130059787,-40.384275346371425
476,-35.98342228421255,-35.64103190351868,-34.93890279792031
477,-37.910881154682905,-37.153493408645,-35.94827219850741
478,-37.922017552038675,-37.67123455443482,-37.07864070922121
479,-48.43057971377354,-47.94615329672315,-47.01950183020592
480,-45.00242047029481,-43.512254885993265,-40.91105882544176
