,X,Y,Z
399,-27.191428129669355,-36.06501932529038,-38.93395611897865
400,-36.65185166034184,-34.711217346403416,-32.78949790140183
401,-25.4779185106094,-33.42851419758976,-35.341759229565845
402,-29.293096056398156,-23.10950456339796,-18.87917779907803
403,-45.369636463948964,-29.742773766774064,-12.082571087926956
404,-12.374826290440469,-39.28924488168347,-33.501147893952506
405,-37.67347902786863,-39.278664781135305,-39.9529464650937
406,-27.75646798643841,-37.03892910795623,-37.231282904656375
407,-27.66795979715845,-33.67557236749655,-38.108256804157854
408,-33.2186107216654,-29.843782431981595,-31.3026490882632
409,-27.876632069217486,-34.517901261516826,-34.924142931790634
410,-37.95872443453747,-36.74849725988104,-34.9164818517352
411,-36.647730171563175,-28.871886469447574,-37.15872329657244
412,-39.37548661008548,-31.294078790226724,-24.688508443794195
413,-36.5757846381079,-34.538895354093256,-24.753602385112302
414,-26.90257657806718,-33.676481544751894,-25.064308025811176
415,-21.77199942996119,-13.551902129572856,-25.96324444058407
416,-37.58466471260946,-27.705741871715112,-42.95641224302106
417,-45.15732001827534,-38.480274202815615,-26.566838512473744
418,-36.391699809353085,-35.731566733378536,-34.45076175035774
419,-45.20352062583961,-29.743036236056657,-28.571273524639512
420,-34.53041388008422,-35.618462654122226,-35.42849053215738
421,-34.06249130340381,-32.88853224471556,-31.104290670065524
422,-26.365840512990815,-12.901091912343595,-29.6053582416554
423,-33.12943247990827,-28.618138526363403,-12.05136345801537
424,-43.68337878749982,-42.253222015724816,-39.51515768303735
425,-17.74030698431091,-15.237063532474235,-25.247456169543216
426,-32.87841809115178,-32.72194980819122,-31.004892843513275
427,-24.583296408322525,-31.84312337801753,-31.187865304187426
428,-18.560995873277065,-14.837483993941445,-24.496103417604246
429,-37.80105165565344,-37.71053454704993,-37.23603398123617
430,-46.96752053980254,-46.41483610799921,-45.29111718425306
431,-35.04715159420674,-35.71060783748802,-35.16999079701524
432,-32.46872368905847,-28.166932280634505,-20.170737831919435
433,-32.222095285666306,-33.03666587708877,-32.58163100988873
434,-38.31096182933343,-37.20317754661078,-35.47493281022622
435,-33.39560370851626,-28.79193775258628,-41.46849579469219
436,-29.731712729300686,-22.25581232447412,-13.322423019015817
437,-27.86171872390667,-43.718727902333185,-12.172783664940216
438,-29.083865396943235,-18.186487771973535,-15.038307255336287
439,-19.656839392449907,-28.21571898542127,-32.958216668837935
440,-40.68248005150389,-38.378777799067166,-33.41653137172666
441,-42.20721853983453,-29.036317827422415,-37.07025403250978
442,-40.50105753755264,-38.749229163805325,-35.92750308232952
443,-38.61168352768574,-37.78324516787757,-35.46648669803003
444,-37.32449758212691,-36.586239247852035,-35.32847020938502
445,-29.731948315463605,-38.005288362953,-37.818999854611604
446,-38.36630310475759,-37.71068859451654,-36.28570813258617
447,-39.81518159026273,-39.60919821536339,-38.706327504186945
448,-36.68951733034848,-36.16105132569246,-34.46418972348549
449,-30.325166767480013,-22.93193808444796,-28.25723564214134
450,-32.35539153199587,-33.74376076350956,-34.233719279960766
451,-20.323537333839457,-29.129336494757133,-31.498886135989316
452,-39.268850608548796,-38.12637741237116,-34.44800270715106
453,-32.22463592645531,-34.84912042469335,-39.49179915947393
454,-31.494242485335256,-29.693829900154153,-24.400624425223345
455,-26.362602005098104,-44.98987693986783,-45.66225471116006
456,-28.696018092419337,-32.774697932911934,-29.999020196114266
457,-39.40801434719817,-38.21338548709752,-36.52438567357493
458,-43.74356441183628,-43.57410523555988,-42.76720183311133
459,-33.83769526742673,-25.165772378205524,-24.221576968368772
460,-32.42013771006664,-37.225952091882924,-37.927924589552305
461,-31.075556622420358,-22.41604543705058,-31.032295323193914
462,-30.40858699951908,-32.806246872774494,-33.89783222681427
463,-42.11226694323739,-42.009634585145875,-41.483766872662756
464,-42.39680040972563,-41.81560126911954,-40.05792851307503
465,-36.925361553487946,-36.216895443730486,-34.880229046788784
466,-33.42802693128037,-33.64567253333596,-32.66846366769082
467,-29.03370754487502,-31.337305132520832,-32.763599902276155
468,-45.4906731775917,-45.33607870559664,-44.55396629706993
469,-26.780038334397467,-33.00343658285512,-31.226165401022428
470,-30.51262465395988,-33.955949447748644,-35.01570546941616
471,-43.10375941523588,-42.09952757740486,-40.506391813179135
472,-38.26816387074091,-36.328999895667295,-30.978555429026926
473,-26.12411401974314,-12.550490318833113,-29.912747538418838
474,-35.46272834415515,-35.72835959058256,-35.08441555639395
475,-34.56087169026666,-35.905350521809176,-36.03970695402158
476,-12.733641077621389,-27.012898895481015,-33.056046378258564
477,-27.312159593715165,-20.461612607688355,-29.655639753000482
478,-28.16284966567903,-35.52695560444549,-39.96409484889704
479,-34.06875773645277,-30.45454734735194,-23.257386371594073
480,-30.43333796227655,-43.16392040320052,-11.493767425371948
